WshedID,BASINID,Ditch_ID,AreaM2,CellCount,RainMeanMM,BFQ95,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E
1,1,,1663400,16634,4563,4.078,345,493,16,561,90,582,3,487,,345,493,16,561,90,582,3,487
1,2,,1059300,10593,5383,2.144,1047,432,0,1323,0,396,0,313,,2094,864,0,2646,0,792,0,626
1,3,,1095900,10959,6742,0.743,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
1,4,,3317700,33177,6383,1.553,1204,27,0,540,0,22,0,20,,202.272,4.536,0,90.72,0,3.696,0,3.36
2,5,,719700,7197,4637,1.706,445,510,10,774,76,663,1,471,,445,510,10,774,76,663,1,471
2,6,,647900,6479,5735,0.702,308,147,0,523,0,126,0,78,,308,147,0,523,0,126,0,78
2,7,,333400,3334,5945,0.318,300,55,0,239,0,46,0,36,,11.34,2.079,0,9.0342,0,1.7388,0,1.3608
2,8,,87000,870,6176,0.038,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,9,,2703500,27035,5745,0.678,2380,37,0,777,0,25,0,21,,7.556976,0.1174824,0,2.4671304,0,0.07938,0,0.0666792
2,10,,9376100,93761,4418,1.926,3557,36,0,860,0,24,0,20,,11.2941864,0.1143072,0,2.730672,0,0.0762048,0,0.063504
3,11,,750000,7500,4908,1.485,502,368,1,1087,1,393,0,160,,502,368,1,1087,1,393,0,160
3,12,,93100,931,5595,0.055,99,35,0,142,0,23,0,14,,99,35,0,142,0,23,0,14
3,13,,57700,577,5679,0.027,181,29,0,169,0,19,0,13,,15.204,2.436,0,14.196,0,1.596,0,1.092
3,14,,185600,1856,6084,0.117,5,1,0,4,0,0,0,0,,0.42,0.084,0,0.336,0,0,0,0
3,15,,214000,2140,6739,0.114,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,16,,700700,7007,6747,0.554,1607,34,0,870,0,20,0,12,,11.338992,0.239904,0,6.13872,0,0.14112,0,0.084672
4,17,,287500,2875,5097,0.331,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,18,,76200,762,5910,0.034,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,19,,664200,6642,5111,1.118,750,708,12,1236,156,790,3,615,,750,708,12,1236,156,790,3,615
5,20,,41500,415,5492,0.015,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,21,,58700,587,5909,0.024,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,22,,194000,1940,6435,0.105,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
5,23,,1826100,18261,6108,0.772,843,61,0,496,0,40,0,50,,70.812,5.124,0,41.664,0,3.36,0,4.2
6,24,,705400,7054,5055,1.323,706,536,21,1050,71,587,3,495,,706,536,21,1050,71,587,3,495
6,25,,26300,263,5636,0.007,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
6,26,,32200,322,5521,0.009,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
6,27,,181300,1813,6031,0.128,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
6,28,,913900,9139,6565,1.062,1668,43,0,845,0,33,0,27,,140.112,3.612,0,70.98,0,2.772,0,2.268
7,29,,1196600,11966,5053,2.638,1919,924,36,2369,115,1059,10,949,,1919,924,36,2369,115,1059,10,949
7,30,,50300,503,5889,0.019,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,31,,43600,436,5866,0.015,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,32,,12100,121,5720,0.002,36,3,0,21,0,2,0,2,,1.3608,0.1134,0,0.7938,0,0.0756,0,0.0756
7,33,,735900,7359,6435,0.534,1493,31,0,663,0,21,0,19,,4.7405736,0.0984312,0,2.1051576,0,0.0666792,0,0.0603288
7,34,,10118600,101186,3937,1.686,3395,32,0,817,0,28,0,32,,285.18,2.688,0,68.628,0,2.352,0,2.688
8,35,,1025200,10252,5095,1.518,1072,671,29,1370,99,751,10,752,,1072,671,29,1370,99,751,10,752
8,36,,9183800,91838,4199,1.54,4660,38,0,1221,0,35,0,55,,391.44,3.192,0,102.564,0,2.94,0,4.62
9,37,,992200,9922,5015,1.924,1371,468,21,1449,65,410,7,411,,1371,468,21,1449,65,410,7,411
9,38,,9548800,95488,3990,1.397,3523,23,0,809,0,13,0,5,,295.932,1.932,0,67.956,0,1.092,0,0.42
10,39,,2388300,23883,4587,6.15,1243,623,58,947,121,325,31,483,,1243,623,58,947,121,325,31,483
10,40,,86300,863,5816,0.038,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,41,,94500,945,5937,0.043,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,42,,23200,232,5878,0.005,5,0,0,2,0,0,0,0,,0.015876,0,0,0.0063504,0,0,0,0
10,43,,1353500,13535,6576,1.437,1887,15,0,543,0,6,0,1,,158.508,1.26,0,45.612,0,0.504,0,0.084
10,44,,9479800,94798,2683,0.721,2652,17,0,558,0,8,0,4,,222.768,1.428,0,46.872,0,0.672,0,0.336
11,45,,1695800,16958,4593,4.233,1005,702,1,1447,113,928,0,571,,1005,702,1,1447,113,928,0,571
11,46,,606600,6066,5550,0.945,677,190,0,857,0,247,0,108,,1354,380,0,1714,0,494,0,216
11,47,,24600,246,5696,0.006,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,48,,73900,739,5863,0.029,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,49,,40900,409,5900,0.011,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,50,,28000,280,5973,0.006,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,51,,25100,251,5971,0.005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,52,,270100,2701,6124,0.19,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,53,,225300,2253,6270,0.134,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,54,,3824000,38240,5142,0.908,2480,16,0,718,0,8,0,9,,2480,16,0,718,0,8,0,9
12,55,,2704600,27046,4543,6.531,1961,2584,122,2710,996,2720,108,2040,,1961,2584,122,2710,996,2720,108,2040
12,56,,3586200,35862,6256,6.066,1409,714,0,1691,0,635,0,437,,1409,714,0,1691,0,635,0,437
12,57,,1112400,11124,4354,8.37,1543,1751,13,1986,558,2021,11,1482,,1543,1751,13,1986,558,2021,11,1482
12,58,,1753500,17535,6355,2.939,2566,845,0,2488,0,610,0,545,,2566,845,0,2488,0,610,0,545
12,59,,46700,467,6999,0.009,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
12,60,,60700,607,6993,0.014,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
12,61,,152300,1523,6994,0.054,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
12,62,,946600,9466,6916,0.719,2683,0,0,176,0,0,0,0,,2683,0,0,176,0,0,0,0
12,63,,3045900,30459,5893,0.979,2593,0,0,379,0,0,0,2,,2593,0,0,379,0,0,0,2
12,64,,36326400,363264,3110,7.054,9904,0,0,211,0,0,0,0,,9904,0,0,211,0,0,0,0
13,65,,2638800,26388,4746,5.918,1613,1060,72,1445,131,796,14,857,,1613,1060,72,1445,131,796,14,857
13,66,,14500,145,5737,0.002,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,67,,41500,415,5849,0.01,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,68,,42200,422,6227,0.009,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,69,,100700,1007,6069,0.04,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,70,,254000,2540,6543,0.123,839,0,0,267,0,0,0,8,,839,0,0,267,0,0,0,8
14,71,,2777700,27777,4984,5.456,2450,1667,189,2337,445,940,152,1191,,2450,1667,189,2337,445,940,152,1191
14,72,,78900,789,5461,0.027,594,18,0,290,0,11,0,5,,594,18,0,290,0,11,0,5
14,73,,21500,215,6070,0.003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,74,,287400,2874,6852,0.132,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,75,,466800,4668,6423,0.251,1014,0,0,304,0,0,0,0,,1014,0,0,304,0,0,0,0
14,76,,763000,7630,6774,0.39,1852,0,0,201,0,0,0,0,,1852,0,0,201,0,0,0,0
14,77,,1472200,14722,6375,0.572,2474,0,0,404,0,0,0,0,,2474,0,0,404,0,0,0,0
14,78,,7961600,79616,4144,1.255,2091,0,0,369,0,0,0,0,,2091,0,0,369,0,0,0,0
15,79,,440200,4402,4204,0.738,416,454,53,898,64,344,16,301,,416,454,53,898,64,344,16,301
15,80,,24300,243,4411,0.007,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,81,,59800,598,4553,0.023,4,1,0,7,0,1,0,1,,4,1,0,7,0,1,0,1
15,82,,338800,3388,4690,0.366,455,106,0,518,0,83,0,48,,455,106,0,518,0,83,0,48
15,83,,16700,167,4814,0.003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,84,,272300,2723,5111,0.169,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,85,,295700,2957,5264,0.195,542,39,0,398,0,27,0,12,,542,39,0,398,0,27,0,12
15,86,,23500,235,5559,0.004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,87,,45800,458,5838,0.01,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,88,,125300,1253,5833,0.048,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,89,,574800,5748,6080,0.37,1048,6,0,458,0,4,0,9,,1048,6,0,458,0,4,0,9
16,90,,563000,5630,3806,1.081,1199,80,0,746,0,228,0,79,,1199,80,0,746,0,228,0,79
16,91,,276000,2760,4538,0.249,980,34,0,388,0,45,0,25,,980,34,0,388,0,45,0,25
16,92,,168300,1683,4911,0.093,679,2,0,159,0,8,0,2,,679,2,0,159,0,8,0,2
16,93,,3115600,31156,5589,0.861,4217,0,0,442,0,4,0,0,,4217,0,0,442,0,4,0,0
17,94,,709100,7091,3870,1.563,707,774,26,1462,114,919,6,618,,707,774,26,1462,114,919,6,618
17,95,,272700,2727,4445,0.201,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
17,96,,28100,281,4550,0.006,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
17,97,,162900,1629,4747,0.079,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
17,98,,110200,1102,4865,0.042,13,1,0,8,0,1,0,0,,13,1,0,8,0,1,0,0
17,99,,348800,3488,4540,0.313,815,294,0,1021,0,218,0,147,,815,294,0,1021,0,218,0,147
17,100,,24500,245,4758,0.005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
17,101,,9600,96,4777,0.001,17,3,0,12,0,2,0,2,,17,3,0,12,0,2,0,2
17,102,,6420500,64205,5921,3.553,8974,112,0,2640,0,104,0,47,,8974,112,0,2640,0,104,0,47
18,103,,786500,7865,3762,1.349,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
18,104,,17800,178,4072,0.005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
18,105,,31600,316,4198,0.01,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
18,106,,83700,837,4315,0.038,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
18,107,,121800,1218,4281,0.067,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
19,108,,311900,3119,3565,0.459,332,161,0,555,0,306,0,120,,332,161,0,555,0,306,0,120
19,109,,418800,4188,4302,0.453,801,217,0,1167,0,193,0,113,,801,217,0,1167,0,193,0,113
19,110,,33100,331,4562,0.008,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
19,111,,119900,1199,4698,0.047,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
19,112,,6800,68,4543,0.001,31,3,0,20,0,2,0,2,,31,3,0,20,0,2,0,2
19,113,,100300,1003,4555,0.04,253,37,0,213,0,34,0,23,,253,37,0,213,0,34,0,23
19,114,,1228800,12288,5444,1.116,1977,27,0,837,0,26,0,17,,1977,27,0,837,0,26,0,17
19,115,,10039900,100399,3065,0.888,2893,21,0,800,0,20,0,16,,2893,21,0,800,0,20,0,16
20,116,,477300,4773,3424,0.963,297,163,0,524,0,250,0,117,,297,163,0,524,0,250,0,117
20,117,,29800,298,3823,0.011,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,118,,31900,319,3891,0.013,4,2,0,8,0,1,0,1,,4,2,0,8,0,1,0,1
20,119,,22200,222,3861,0.009,32,14,0,65,0,12,0,7,,32,14,0,65,0,12,0,7
20,120,,572600,5726,4250,0.737,430,121,0,575,0,89,0,65,,430,121,0,575,0,89,0,65
20,121,,6900,69,4461,0.001,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,122,,22000,220,4526,0.004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,123,,177900,1779,4734,0.071,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,124,,269500,2695,4698,0.143,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,125,,6000,60,4628,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
21,126,,196100,1961,3234,0.223,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
21,127,,320200,3202,3911,0.343,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
22,128,,252500,2525,3236,0.341,383,127,0,524,1,127,0,68,,383,127,0,524,1,127,0,68
22,129,,168700,1687,3878,0.14,366,93,0,550,0,43,0,34,,366,93,0,550,0,43,0,34
22,130,,190500,1905,4285,0.127,452,55,0,346,0,25,0,22,,452,55,0,346,0,25,0,22
22,131,,11300,113,4479,0.001,61,4,0,33,0,2,0,2,,61,4,0,33,0,2,0,2
22,132,,2088000,20880,5596,0.968,3125,18,0,766,0,7,0,3,,3125,18,0,766,0,7,0,3
22,133,,761700,7617,3325,1.578,662,598,46,876,95,401,13,420,,662,598,46,876,95,401,13,420
23,134,,4900,49,3580,0.001,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,135,,57400,574,3709,0.027,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,136,,117000,1170,3769,0.093,286,90,0,420,0,38,0,29,,286,90,0,420,0,38,0,29
23,137,,68200,682,3882,0.036,149,50,0,217,0,22,0,16,,149,50,0,217,0,22,0,16
23,138,,13000,130,3973,0.003,23,5,0,29,0,2,0,2,,23,5,0,29,0,2,0,2
23,139,,269100,2691,4179,0.216,370,46,0,288,0,22,0,19,,370,46,0,288,0,22,0,19
23,140,,229100,2291,4227,0.166,635,105,0,471,0,43,0,38,,635,105,0,471,0,43,0,38
23,141,,38300,383,4398,0.009,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,142,,53800,538,4449,0.015,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,143,,6200,62,4378,0.001,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,144,,9100,91,4367,0.001,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,145,,14300,143,4334,0.002,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
