ID,TypeID,POINT_X,POINT_Y,EVENT_NAME,NodeName,DiversionID,NodeType,WaterDivert,WaterLeft,UpEntrain,UpBarrier,UpOther,UpHab,DnEntrain,DnBarrier,DnHab,DnOther
0,0,783003.9067,2318117.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
1,0,781343.9067,2318107.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
2,0,778863.9067,2318087.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
3,0,779633.9067,2318047.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
4,0,780903.9067,2317967.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
5,0,780293.9067,2317787.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
6,0,784283.9067,2317477.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
7,0,786593.9067,2317447.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
9,0,783693.9067,2317277.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
10,0,785353.9067,2317157.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
11,0,787193.9067,2316887.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
12,0,787903.9067,2316637.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
13,0,788443.9067,2315177.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
14,0,788783.9067,2315077.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
15,0,789833.9067,2314457.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
16,0,789873.9067,2314037.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
17,0,790173.9067,2313907.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
18,0,790773.9067,2313537.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
19,0,790783.9067,2313487.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
20,0,791733.9067,2312887.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
21,0,791703.9067,2312377.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
22,0,792603.9067,2311987.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
23,0,792863.9067,2311777.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
24,0,793033.9067,2311607.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
25,0,793323.9067,2311337.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
26,0,793583.9067,2311177.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
27,0,794263.9067,2310787.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
28,0,793983.9067,2310717.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
29,0,794793.9067,2309417.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
30,0,794783.9067,2309257.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
31,0,795743.9067,2309177.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
32,0,797163.9067,2309087.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
33,0,797723.9067,2309067.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
34,0,798833.9067,2308077.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
35,0,798873.9067,2307137.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
36,0,799163.9067,2306747.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
37,0,799323.9067,2306697.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
38,0,799923.9067,2306317.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
39,0,802463.9067,2305757.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
40,0,800233.9067,2305647.479,,,11,StreamMouth,0,1,1,1,1,1,1,1,1,1
