WshedID,BASINID,DiversionID,AreaM2,CellCount,RainMeanMM,RainSumMM,BFQ95,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E,Wshed_Name,Lease_ID,IIFS,Private_ID,Taro_ID,dVolume
1,1,11,1663400,16634,4563,75896200,4.078,345,493,16,561,90,582,3,487,345,493,16,561,90,582,3,487,Makapipi,Nahiku,No,,No,0
1,2,13,1059300,10593,5383,57027200,2.144,1047,432,0,1323,0,396,0,313,2094,864,0,2646,0,792,0,626,Makapipi,Nahiku,No,,No,0
1,3,3,1095900,10959,6742,73888200,0.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Makapipi,Nahiku,No,,No,0
1,4,3,3317700,33177,6383,211769000,1.553,1204,27,0,540,0,22,0,20,202.272,4.536,0,90.72,0,3.696,0,3.36,Makapipi,Nahiku,No,,No,0
2,5,11,719700,7197,4637,33375000,1.706,445,510,10,774,76,663,1,471,445,510,10,774,76,663,1,471,Hanawi,Nahiku,No,,No,0
2,6,14,647900,6479,5735,37154500,0.702,308,147,0,523,0,126,0,78,308,147,0,523,0,126,0,78,Hanawi,Nahiku,No,,No,0
2,7,3,333400,3334,5945,19819000,0.318,300,55,0,239,0,46,0,36,11.34,2.079,0,9.0342,0,1.7388,0,1.3608,Hanawi,Nahiku,No,,No,0
2,8,3,87000,870,6176,5373120,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hanawi,Nahiku,No,,No,0
2,9,3,2703500,27035,5745,155319000,0.678,2380,37,0,777,0,25,0,21,7.556976,0.1174824,0,2.4671304,0,0.07938,0,0.0666792,Hanawi,Nahiku,No,,No,0
2,10,3,9376100,93761,4418,414272000,1.926,3557,36,0,860,0,24,0,20,11.2941864,0.1143072,0,2.730672,0,0.0762048,0,0.063504,Hanawi,Nahiku,No,,No,0
3,11,11,750000,7500,4908,36807600,1.485,502,368,1,1087,1,393,0,160,502,368,1,1087,1,393,0,160,Kapaula,Nahiku,No,,No,0
3,12,14,93100,931,5595,5209330,0.055,99,35,0,142,0,23,0,14,99,35,0,142,0,23,0,14,Kapaula,Nahiku,No,,No,0
3,13,3,57700,577,5679,3276570,0.027,181,29,0,169,0,19,0,13,15.204,2.436,0,14.196,0,1.596,0,1.092,Kapaula,Nahiku,No,,No,0
3,14,3,185600,1856,6084,11291800,0.117,5,1,0,4,0,0,0,0,0.42,0.084,0,0.336,0,0,0,0,Kapaula,Nahiku,No,,No,0
3,15,3,214000,2140,6739,14422300,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kapaula,Nahiku,No,,No,0
3,16,3,700700,7007,6747,47275900,0.554,1607,34,0,870,0,20,0,12,11.338992,0.239904,0,6.13872,0,0.14112,0,0.084672,Kapaula,Nahiku,No,,No,0
4,17,11,287500,2875,5097,14654100,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiaaka,Keanae,No,,No,0
4,18,3,76200,762,5910,4503720,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiaaka,Keanae,No,,No,0
5,19,11,664200,6642,5111,33944800,1.118,750,708,12,1236,156,790,3,615,750,708,12,1236,156,790,3,615,Paakea,Keanae,No,,No,0
5,20,3,41500,415,5492,2279230,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paakea,Keanae,No,,No,0
5,21,3,58700,587,5909,3468330,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paakea,Keanae,No,,No,0
5,22,3,194000,1940,6435,12484800,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paakea,Keanae,No,,No,0
5,23,3,1826100,18261,6108,111538000,0.772,843,61,0,496,0,40,0,50,70.812,5.124,0,41.664,0,3.36,0,4.2,Paakea,Keanae,No,,No,0
6,24,11,705400,7054,5055,35654600,1.323,706,536,21,1050,71,587,3,495,706,536,21,1050,71,587,3,495,Waiohue,Keanae,No,,No,0
6,25,3,26300,263,5636,1482320,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiohue,Keanae,No,,No,0
6,26,3,32200,322,5521,1777660,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiohue,Keanae,No,,No,0
6,27,3,181300,1813,6031,10933800,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiohue,Keanae,No,,No,0
6,28,3,913900,9139,6565,59996000,1.062,1668,43,0,845,0,33,0,27,140.112,3.612,0,70.98,0,2.772,0,2.268,Waiohue,Keanae,No,,No,0
7,29,11,1196600,11966,5053,60462500,2.638,1919,924,36,2369,115,1059,10,949,1919,924,36,2369,115,1059,10,949,Kopiliula,Keanae,No,,No,0
7,30,3,50300,503,5889,2962360,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kopiliula,Keanae,No,,No,0
7,31,3,43600,436,5866,2557500,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kopiliula,Keanae,No,,No,0
7,32,3,12100,121,5720,692101,0.002,36,3,0,21,0,2,0,2,1.3608,0.1134,0,0.7938,0,0.0756,0,0.0756,Kopiliula,Keanae,No,,No,0
7,33,3,735900,7359,6435,47355900,0.534,1493,31,0,663,0,21,0,19,4.7405736,0.0984312,0,2.1051576,0,0.0666792,0,0.0603288,Kopiliula,Keanae,No,,No,0
7,34,3,10118600,101186,3937,398375000,1.686,3395,32,0,817,0,28,0,32,285.18,2.688,0,68.628,0,2.352,0,2.688,Kopiliula,Keanae,No,,No,0
8,35,11,1025200,10252,5095,52238700,1.518,1072,671,29,1370,99,751,10,752,1072,671,29,1370,99,751,10,752,East Wailua Iki,Keanae,No,,No,0
8,36,3,9183800,91838,4199,385667000,1.54,4660,38,0,1221,0,35,0,55,391.44,3.192,0,102.564,0,2.94,0,4.62,East Wailua Iki,Keanae,No,,No,0
9,37,11,992200,9922,5015,49759700,1.924,1371,468,21,1449,65,410,7,411,1371,468,21,1449,65,410,7,411,West Wailua Iki,Keanae,No,,No,0
9,38,3,9548800,95488,3990,380969000,1.397,3523,23,0,809,0,13,0,5,295.932,1.932,0,67.956,0,1.092,0,0.42,West Wailua Iki,Keanae,No,,No,0
10,39,11,2388300,23883,4587,109540000,6.15,1243,623,58,947,121,325,31,483,1243,623,58,947,121,325,31,483,Wailua Nui,Keanae,Yes,,Yes,0
10,40,3,86300,863,5816,5018970,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wailua Nui,Keanae,Yes,,Yes,0
